States,AIC,BIC,Minimum Expected Duration,Maximum Expected Duration,Degenerate
2,13998.784734421752,14044.445569474956,36.408857387493306,78.83223193531937,False
3,13547.78287718935,13639.104547295756,27.025532546662294,41.05564966466575,False
4,13448.656400573513,13598.684858605468,16.183937523440267,38.650464774044735,False
5,13392.463029233011,13614.244228062858,1.0695727123643755,40.07629386717289,True
