Model,AIC,BIC,Log-Score
4-state HMM,13448.656400573513,13598.684858605468,-1.412108267315354
Gaussian,16063.561782257715,16076.60773513006,-1.6982954590813752
Student-t,14663.975102633716,14683.544031942232,-1.5228115162484221
"GARCH(1,1)",13671.56826927629,13691.137198584805,-1.4461533841227403
"t-GARCH(1,1)",13459.769282336674,13485.861188081362,-1.424250682413708
