Model,Avg VaR 99,Avg ES 99,Max ES 99,COVID Avg ES 99
4-state HMM,2.7557654470012074,3.3992183367747084,9.61363071144112,8.489258306130505
Gaussian,2.7557034205229765,3.160491060142956,3.160491060142956,3.160491060142956
Student-t,3.4944703862666886,5.882209044202324,5.882209044202323,5.882209044202324
"GARCH(1,1)",2.565609308374998,2.939327556654395,16.954096687881826,9.377298405539012
"t-GARCH(1,1)",2.874506314134922,3.646546874066597,20.89854038778427,11.944025191168668
